video_id,video_title,channel_name,keyword_used,comment_id,author,comment_text,language,published_at,like_count,is_reply,parent_comment_id
cQ_zriq0BEU,పదేళ్లలో ఆయనేం చేశాడో.. రెండేళ్ళలో నేనేం చేశానో రండి చర్చకు : CM Revanth reddy | Ntv Telugu,NTV Telugu,Revanth Reddy,UgwmxvJTAVU0Bo1-0kJ4AaABAg,@zktq_cbcp_yra021,కోడి చెరువు పవనకి రాసిచ్చారు 😅😅,te,2026-06-08T16:43:40Z,1,False,
cQ_zriq0BEU,పదేళ్లలో ఆయనేం చేశాడో.. రెండేళ్ళలో నేనేం చేశానో రండి చర్చకు : CM Revanth reddy | Ntv Telugu,NTV Telugu,Revanth Reddy,UgyEEXYaOVHxVVuWRx54AaABAg,@zktq_cbcp_yra021,18 ఇయర్స్ లో మా పవన్ MLA అయ్యాడు...😅😅,te,2026-06-08T16:43:14Z,0,False,
cQ_zriq0BEU,పదేళ్లలో ఆయనేం చేశాడో.. రెండేళ్ళలో నేనేం చేశానో రండి చర్చకు : CM Revanth reddy | Ntv Telugu,NTV Telugu,Revanth Reddy,Ugz6XUiusYAgbOZmpr14AaABAg,@pavansai4311,రియల్ ఎస్టేట్ మొత్తం నాశనం చేశారు 2 ఏళ్లలో రేవంత్ రెడ్డి,te,2026-06-08T16:37:29Z,0,False,
cQ_zriq0BEU,పదేళ్లలో ఆయనేం చేశాడో.. రెండేళ్ళలో నేనేం చేశానో రండి చర్చకు : CM Revanth reddy | Ntv Telugu,NTV Telugu,Revanth Reddy,UgyMpufM-zgL8Ae59gJ4AaABAg,@MjrRao,60 ఏళ్లు పరిపాలించిన మీ కాంగ్రెస్ ప్రభుత్వం ఏం చేసింది,te,2026-06-08T16:23:53Z,1,False,
DYo49sKrS-A,అడా ఉన్న సన్నాసి ఒక్కడు రేవంత్ రెడ్డికి చెప్పడు | Revanth reddy | Ambharpet Srinivas Yadav -NewsLine,News Line Telugu,Revanth Reddy,Ugx8FeVDAaP-5MftRG54AaABAg,@MahiAngula-k9y,అదే అదే మీ కమిట్మెంట్ కళ్యాణ్ ను ఎవరేమన్నా అంటే ప్రెష్మిట్ పెట్టి దాడులు చేస్తామని బెదిరిచడం,te,2026-06-08T16:11:12Z,0,False,
vsvDC3Rf68U,Telangana CM Revanth Reddy says HYDRAA inspired by Hitler&#39;s HYDRA | Captain America&#39;s Hydra | Marvel,Sigma MARD,Revanth Reddy,UgzPPEY1i5CaOPOpSMF4AaABAg,@Nam3347,same guy who said president and pm are from north india,en,2026-06-08T16:12:10Z,0,False,
sgOJMuEPR98,టీడీపీ రాజ్యసభ అభ్యర్థుల ఖరారు | కష్టపడే వారికి చంద్రబాబు పెద్దపీట! #chandrababu #RajyaSabha #tdp,Think Andhra,TDP,UgxMNyn2ZC_uthVGsT54AaABAg,@anandkonkyana9611,మరి పిఠాపురం రాజు గారికి ఎందుకు ఇవ్వటం లేదు,te,2026-06-08T17:23:42Z,0,False,
sgOJMuEPR98,టీడీపీ రాజ్యసభ అభ్యర్థుల ఖరారు | కష్టపడే వారికి చంద్రబాబు పెద్దపీట! #chandrababu #RajyaSabha #tdp,Think Andhra,TDP,Ugx1UahJk2TkGFl2UJ14AaABAg,@venkataramayyakhanderayani1803,"అలాగే మాలాంటి వారికి సాయం చేస్తే కంప్యూటర్ లేకపోతే లాప్టాప్, ప్రింటర్, స్కానర్ కొనుక్కుని జీవనం సాగిస్తాం.",te,2026-06-08T14:54:26Z,1,False,
w7K5L3_u5Sg,పవన్ వల్లే కూటమి గెలిచింది.. #pawankalyan #janasena #tdp #chandrababu #ksrinivas #shorts #mictv,Mic Tv News,TDP,UgzsidI1Wbsnv7vQrcJ4AaABAg,@umakopanati9373,ఈవీఎం వల్ల కూటమి గెలిచింది,te,2026-06-08T14:39:32Z,0,False,
XyT_iyjbTXg,ఇవి చంద్రబాబు వెన్నుపోట్లా చెప్పండి.. రిపోర్టర్ తోలు వలిచిన మహిళ #cmchandrababu #ysjagan #tdp #ycp,News25 Telugu,TDP,UgyBBRtf_3ChPW4ae2x4AaABAg,@godlakanakaraju9454,వైసీపీ వాళ్ళు డ్రామాలు తప్పా... ఏమి చెయ్యరు,te,2026-06-08T14:20:33Z,0,False,
vUlzlG4Jmyk,ఎక్కడ చూసినా రేవంత్ పచ్చి బూతులే.. | BRS Anji Babu Sensational On CM Revanth | Gaddar Statue | Aadya,Aadya TV,BRS,UgyV-Hx0AE5Gpilk7oB4AaABAg,@prakashthipparapu7135,Thupu revanth,en,2026-06-08T17:21:21Z,0,False,
